Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-14,1.3133,1.3135,1.3071,1.3132,0,0,0
2018-08-15,1.3058,1.3174,1.3054,1.3056,0,0,0
2018-08-16,1.3147,1.3163,1.3114,1.3143,0,0,0
2018-08-17,1.3159,1.3167,1.3067,1.316,0,0,0
2018-08-20,1.3058,1.3089,1.3049,1.306,0,0,0
2018-08-21,1.3042,1.3056,1.3013,1.3041,0,0,0
2018-08-22,1.3034,1.3042,1.3007,1.3034,0,0,0
2018-08-23,1.3009,1.3072,1.3009,1.3008,0,0,0
2018-08-24,1.3099,1.3103,1.3018,1.3101,0,0,0
2018-08-27,1.301,1.3065,1.2953,1.3009,0,0,0
2018-08-28,1.2963,1.2981,1.289,1.2963,0,0,0
2018-08-29,1.2928,1.2959,1.2902,1.293,0,0,0
2018-08-30,1.2903,1.2999,1.2903,1.2904,0,0,0
2018-08-31,1.2986,1.3085,1.2986,1.2986,0,0,0
2018-09-03,1.3061,1.3102,1.3044,1.306,0,0,0
2018-09-04,1.3096,1.3206,1.3091,1.3095,0,0,0
2018-09-05,1.3174,1.3206,1.316,1.3174,0,0,0
2018-09-06,1.3173,1.3225,1.3163,1.3174,0,0,0
2018-09-07,1.3154,1.3177,1.311,1.3155,0,0,0
2018-09-10,1.3173,1.3198,1.3152,1.3169,0,0,0
2018-09-11,1.3163,1.3173,1.3132,1.3162,0,0,0
2018-09-12,1.3061,1.3078,1.2989,1.3062,0,0,0
2018-09-13,1.3001,1.3024,1.2977,1.3,0,0,0
2018-09-14,1.3006,1.3046,1.2982,1.3005,0,0,0
2018-09-17,1.3044,1.3048,1.3002,1.3043,0,0,0
2018-09-18,1.3063,1.3063,1.2976,1.3063,0,0,0
2018-09-19,1.2972,1.2994,1.2933,1.2972,0,0,0
2018-09-20,1.2918,1.2927,1.2884,1.2918,0,0,0
2018-09-21,1.2909,1.294,1.2887,1.2909,0,0,0
2018-09-24,1.2913,1.2948,1.2908,1.2913,0,0,0
2018-09-25,1.295,1.2971,1.2937,1.2949,0,0,0
2018-09-26,1.2957,1.2976,1.2942,1.2957,0,0,0
2018-09-27,1.3038,1.308,1.3026,1.3037,0,0,0
2018-09-28,1.3035,1.3038,1.2912,1.3036,0,0,0
2018-10-01,1.2841,1.2862,1.2787,1.2841,0,0,0
2018-10-02,1.2814,1.2839,1.2797,1.2812,0,0,0
2018-10-03,1.2821,1.2843,1.2809,1.2819,0,0,0
2018-10-04,1.2879,1.2903,1.2857,1.2878,0,0,0
2018-10-05,1.2921,1.2954,1.2906,1.292,0,0,0
2018-10-08,1.2948,1.301,1.2942,1.2948,0,0,0
2018-10-09,1.2954,1.3002,1.295,1.2954,0,0,0
2018-10-10,1.294,1.2993,1.2925,1.2938,0,0,0
2018-10-11,1.3051,1.307,1.3026,1.3051,0,0,0
2018-10-12,1.3032,1.304,1.3002,1.3031,0,0,0
2018-10-15,1.3023,1.3051,1.2955,1.3023,0,0,0
2018-10-16,1.2994,1.2998,1.293,1.2993,0,0,0
2018-10-17,1.2934,1.3004,1.2932,1.2936,0,0,0
2018-10-18,1.3025,1.3059,1.3021,1.3025,0,0,0
2018-10-19,1.3078,1.3114,1.3028,1.3079,0,0,0
2018-10-22,1.31,1.3116,1.3078,1.3103,0,0,0
2018-10-23,1.3098,1.312,1.3082,1.3097,0,0,0
2018-10-24,1.3082,1.3099,1.2988,1.3081,0,0,0
2018-10-25,1.3047,1.3098,1.3015,1.3047,0,0,0
2018-10-26,1.3072,1.3156,1.3072,1.3071,0,0,0
2018-10-29,1.3097,1.3132,1.3081,1.3096,0,0,0
2018-10-30,1.3131,1.3144,1.31,1.3129,0,0,0
2018-10-31,1.3115,1.3139,1.3111,1.3114,0,0,0
2018-11-01,1.3159,1.3168,1.3068,1.3158,0,0,0
2018-11-02,1.3092,1.3114,1.3047,1.309,0,0,0
2018-11-05,1.3099,1.3112,1.307,1.3101,0,0,0
2018-11-06,1.311,1.3134,1.3104,1.3109,0,0,0
2018-11-07,1.3115,1.3157,1.3056,1.3116,0,0,0
2018-11-08,1.3116,1.3125,1.3086,1.3116,0,0,0
2018-11-09,1.3145,1.3228,1.3145,1.3143,0,0,0
2018-11-12,1.3192,1.3226,1.318,1.3193,0,0,0
2018-11-13,1.3241,1.3257,1.3214,1.3242,0,0,0
2018-11-14,1.3223,1.3258,1.3211,1.3225,0,0,0
2018-11-15,1.3246,1.3248,1.3191,1.3247,0,0,0
2018-11-16,1.3171,1.3186,1.3127,1.3172,0,0,0
2018-11-19,1.3147,1.3201,1.3147,1.3147,0,0,0
2018-11-20,1.317,1.3269,1.3154,1.3172,0,0,0
2018-11-21,1.3306,1.3316,1.3264,1.3305,0,0,0
2018-11-22,1.3227,1.3243,1.32,1.3225,0,0,0
2018-11-23,1.3189,1.3255,1.3187,1.3191,0,0,0
2018-11-26,1.3226,1.3241,1.3187,1.3226,0,0,0
